,message,label
0,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,ham
1,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",ham
2,What happen dear. Why you silent. I am tensed,ham
3,"G says you never answer your texts, confirm/deny",ham
4,It took Mr owl 3 licks,ham
5,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,ham
6,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,spam
7,Ok...,ham
8,Wat happened to the cruise thing,ham
9,S.i think he is waste for rr..,ham
10,U too...,ham
11,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham
12,No..its ful of song lyrics..,ham
13,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,ham
14,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, ",ham
15,I don't think he has spatula hands!,ham
16,"&lt;#&gt; , that's all? Guess that's easy enough",ham
17,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save Â£s with Free texts/weekend calls. Text YES for a callback orno to opt out,spam
18,"Sorry, I'll call later",ham
19,I am in office:)whats the matter..msg me now.i will call you at break:).,ham
20,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,ham
21,You have won a guaranteed Â£200 award or even Â£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam
22,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,ham
23,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,ham
24,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,ham
25,Yup,ham
26,I can't describe how lucky you are that I'm actually awake by noon,ham
27,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,ham
28,Yes. Rent is very expensive so its the way we save.,ham
29,Would really appreciate if you call me. Just need someone to talk to.,ham
30,Tired. I haven't slept well the past few nights.,ham
31,Ãœ got wat to buy tell us then Ã¼ no need to come in again.,ham
32,"""Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?""",ham
33,How come?,ham
34,Fine am simply sitting.,ham
35,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much",ham
36,"""HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS, HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX""",ham
37,How many times i told in the stage all use to laugh. You not listen aha.,ham
38,I am in a marriage function,ham
39,Pls speak with me. I wont ask anything other then you friendship.,ham
